Date,Close
2024-04-01,142.02000427246094
2024-04-02,140.0
2024-04-03,137.33999633789062
2024-04-04,126.05999755859376
2024-04-05,122.6999969482422
2024-04-08,129.9600067138672
2024-04-09,132.1699981689453
2024-04-10,138.3699951171875
2024-04-11,136.57000732421875
2024-04-12,134.0
2024-04-15,131.75
2024-04-16,130.07000732421875
2024-04-17,134.75
2024-04-18,137.22000122070312
2024-04-19,135.10000610351562
2024-04-22,136.69000244140625
2024-04-23,147.8300018310547
2024-04-24,146.17999267578125
2024-04-25,148.30999755859375
2024-04-26,153.07000732421875
2024-04-29,159.00999450683594
2024-04-30,153.7100067138672
2024-05-01,151.6699981689453
2024-05-02,153.8300018310547
2024-05-03,166.25999450683594
2024-05-06,169.13999938964844
2024-05-07,167.36000061035156
2024-05-08,164.0
2024-05-09,166.39999389648438
2024-05-10,167.27000427246094
2024-05-13,161.52999877929688
2024-05-14,165.6300048828125
2024-05-15,167.8699951171875
2024-05-16,166.39999389648438
2024-05-17,162.6199951171875
2024-05-20,160.9499969482422
2024-05-21,163.92999267578125
2024-05-22,163.85000610351562
2024-05-23,161.6699981689453
2024-05-24,177.42999267578125
2024-05-28,178.08999633789062
2024-05-29,177.32000732421875
2024-05-30,175.0800018310547
2024-05-31,175.89999389648438
2024-06-03,170.3699951171875
2024-06-04,163.0399932861328
2024-06-05,163.49000549316406
2024-06-06,160.30999755859375
2024-06-07,162.0800018310547
2024-06-10,166.63999938964844
2024-06-11,168.22999572753906
2024-06-12,177.52000427246094
2024-06-13,176.1699981689453
2024-06-14,170.1699981689453
2024-06-17,168.75999450683594
2024-06-18,179.57000732421875
2024-06-20,177.17999267578125
2024-06-21,175.72999572753906
2024-06-24,178.13999938964844
2024-06-25,181.4499969482422
2024-06-26,180.0
2024-06-27,176.27999877929688
2024-06-28,171.50999450683594
2024-07-01,167.52000427246094
2024-07-02,169.80999755859375
2024-07-03,172.67999267578125
2024-07-05,176.22999572753906
2024-07-08,174.3699951171875
2024-07-09,172.97999572753906
2024-07-10,179.72999572753906
2024-07-11,176.6999969482422
2024-07-12,180.4499969482422
2024-07-15,177.44000244140625
2024-07-16,182.7400054931641
2024-07-17,165.8300018310547
2024-07-18,161.49000549316406
2024-07-19,163.33999633789062
2024-07-22,166.75999450683594
2024-07-23,170.49000549316406
2024-07-24,162.89999389648438
2024-07-25,160.0
2024-07-26,173.11000061035156
2024-07-29,172.0500030517578
2024-07-30,162.6999969482422
2024-07-31,178.24000549316406
2024-08-01,174.02999877929688
2024-08-02,164.72999572753906
2024-08-05,162.24000549316406
2024-08-06,164.35000610351562
2024-08-07,166.07000732421875
2024-08-08,177.2100067138672
2024-08-09,179.11000061035156
2024-08-12,176.44000244140625
2024-08-13,179.64999389648438
2024-08-14,184.16000366210935
2024-08-15,188.82000732421875
2024-08-16,184.05999755859372
2024-08-19,185.3999938964844
2024-08-20,184.0
2024-08-21,184.25999450683597
2024-08-22,186.0
2024-08-23,183.2899932861328
2024-08-26,182.1300048828125
2024-08-27,185.5500030517578
2024-08-28,184.0
2024-08-29,191.3600006103516
2024-08-30,201.0
2024-09-03,192.5500030517578
2024-09-04,199.6300048828125
2024-09-05,198.44000244140625
2024-09-06,198.3300018310547
2024-09-09,201.80999755859372
2024-09-10,202.00999450683597
2024-09-11,209.1499938964844
2024-09-12,215.2700042724609
2024-09-13,225.58999633789065
2024-09-16,229.92999267578125
2024-09-17,237.1499938964844
2024-09-18,235.6699981689453
2024-09-19,244.4499969482422
2024-09-20,245.4600067138672
2024-09-23,251.52999877929688
2024-09-24,255.47999572753903
2024-09-25,255.0500030517578
2024-09-26,251.22000122070312
2024-09-27,249.8600006103516
2024-09-30,254.97999572753903
2024-10-01,256.5299987792969
2024-10-02,252.2899932861328
2024-10-03,254.67999267578125
2024-10-04,265.5899963378906
2024-10-07,262.5400085449219
2024-10-08,264.2699890136719
2024-10-09,266.6000061035156
2024-10-10,264.6199951171875
2024-10-11,266.8900146484375
2024-10-14,269.5
2024-10-15,266.3599853515625
2024-10-16,274.7699890136719
2024-10-17,272.0
2024-10-18,272.7200012207031
2024-10-21,276.42999267578125
2024-10-22,276.4200134277344
2024-10-23,279.8800048828125
2024-10-24,297.0
2024-10-25,293.5400085449219
2024-10-28,289.2300109863281
2024-10-29,298.7699890136719
2024-10-30,297.6000061035156
2024-10-31,301.6600036621094
2024-11-01,301.0899963378906
2024-11-04,295.4599914550781
2024-11-05,315.7699890136719
2024-11-06,336.29998779296875
2024-11-07,336.7799987792969
2024-11-08,341.17999267578125
2024-11-11,349.44000244140625
2024-11-12,323.7099914550781
2024-11-13,333.260009765625
2024-11-14,326.0400085449219
2024-11-15,329.760009765625
2024-11-18,325.3699951171875
2024-11-19,340.0
2024-11-20,342.7699890136719
2024-11-21,339.8500061035156
2024-11-22,349.1600036621094
2024-11-25,328.9800109863281
2024-11-26,338.8900146484375
2024-11-27,335.3299865722656
2024-11-29,334.1199951171875
2024-12-02,337.5400085449219
